"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1920/12/01","00:00","1.958","1.668","1.458","0.827","0.842","0.229","-0.103","-0.633","0"
"1921/01/01","00:00","2.049","1.689","1.47","0.851","0.86","0.254","-0.088","-0.42","0"
"1921/02/01","00:00","1.775","1.525","1.351","0.747","0.76","0.168","-0.112","-0.481","0"
"1921/03/01","00:00","1.744","1.513","1.381","0.778","0.784","0.19","-0.057","-0.328","0"
"1921/04/01","00:00","1.653","1.406","1.287","0.68","0.696","0.104","-0.207","-0.45","0"
"1921/05/01","00:00","1.836","1.561","1.372","0.757","0.772","0.174","-0.173","-0.481","0"
"1921/06/01","00:00","1.836","1.61","1.394","0.778","0.793","0.193","-0.185","-0.542","0"
"1921/07/01","00:00","2.018","1.701","1.491","0.863","0.879","0.263","-0.085","-0.45","0"
"1921/08/01","00:00","1.897","1.61","1.445","0.805","0.824","0.202","-0.069","-0.481","0"
"1921/09/01","00:00","1.805","1.564","1.467","0.836","0.845","0.226","0.022","-0.268","0"
